dataset,filename,label,convnet_32,convnet_32_class,knn_32,knn_32_class,resnet_32,resnet_32_class,rocket_32,rocket_32_class,Oracle,Avg Ens,CBLOF,COF,COPOD,HBOS,LOF,PCC
settings_two,synthetic_batch_0.out,HBOS,0.3197701149425287,LOF,0.3033716475095785,HBOS,0.46727969348659,PCC,0.3033716475095785,HBOS,0.5026819923371648,0.3614996114996114,0.078007662835249,0.078007662835249,0.5026819923371648,0.3033716475095785,0.3197701149425287,0.46727969348659
settings_two,synthetic_batch_1.out,PCC,0.5474474474474474,HBOS,0.5474474474474474,HBOS,0.6102102102102102,PCC,0.6073073073073073,COPOD,0.6102102102102102,0.168218954248366,0.1081081081081081,0.1051051051051051,0.6073073073073073,0.5474474474474474,0.3673673673673673,0.6102102102102102
settings_two,synthetic_batch_18.out,HBOS,0.4624485596707819,HBOS,0.4624485596707819,HBOS,0.3413923182441701,LOF,0.3707133058984911,COPOD,0.4624485596707819,0.3347050754458162,0.3041838134430726,0.22599451303155,0.3707133058984911,0.4624485596707819,0.3413923182441701,0.3209876543209876
settings_two,synthetic_batch_19.out,HBOS,0.3359312549960031,LOF,0.3029576338928856,HBOS,0.1510791366906475,CBLOF,0.3029576338928856,HBOS,0.3996802557953637,0.2500786163522012,0.1510791366906475,0.1510791366906475,0.3451239008792965,0.3029576338928856,0.3359312549960031,0.3996802557953637
settings_two,synthetic_batch_21.out,HBOS,0.1628686327077748,CBLOF,0.5201519213583556,HBOS,0.3648793565683646,LOF,0.4696604110813226,COPOD,0.5201519213583556,0.0860294117647058,0.1628686327077748,0.1628686327077748,0.4696604110813226,0.5201519213583556,0.3648793565683646,0.3179624664879356
settings_two,synthetic_batch_23.out,COPOD,0.422279792746114,HBOS,0.422279792746114,HBOS,0.3264248704663212,PCC,0.422279792746114,HBOS,0.4287564766839378,0.1142587346553352,0.2124352331606217,0.1416234887737478,0.4287564766839378,0.422279792746114,0.4015544041450777,0.3264248704663212
settings_two,synthetic_batch_25.out,HBOS,0.3136574074074074,PCC,0.4293981481481481,HBOS,0.3136574074074074,PCC,0.4557098765432099,COPOD,0.4557098765432099,0.2489517819706499,0.2785493827160493,0.2808641975308641,0.4557098765432099,0.4293981481481481,0.4249228395061728,0.3136574074074074
settings_two,synthetic_batch_28.out,PCC,0.5160818713450293,LOF,0.4320175438596491,HBOS,0.5160818713450293,LOF,0.4320175438596491,HBOS,0.7339181286549706,0.2243055555555555,0.0921052631578947,0.0701754385964912,0.4122807017543859,0.4320175438596491,0.5160818713450293,0.7339181286549706
settings_two,synthetic_batch_32.out,PCC,0.143030303030303,CBLOF,0.3993939393939393,HBOS,0.4012121212121212,LOF,0.3993939393939393,HBOS,0.4303030303030303,0.3486985726280436,0.143030303030303,0.1248484848484848,0.4303030303030303,0.3993939393939393,0.4012121212121212,0.1921212121212121
settings_two,synthetic_batch_36.out,HBOS,0.3414304993252361,LOF,0.3603238866396761,HBOS,0.5280026990553307,PCC,0.3603238866396761,HBOS,0.5280026990553307,0.1516853932584269,0.2294197031039136,0.2456140350877192,0.4770580296896087,0.3603238866396761,0.3414304993252361,0.5280026990553307
settings_two,synthetic_batch_37.out,CBLOF,0.3722600151171579,CBLOF,0.4145124716553288,HBOS,0.3931216931216931,LOF,0.4145124716553288,HBOS,0.4145124716553288,0.2021174863387978,0.3722600151171579,0.2842025699168556,0.3436130007558579,0.4145124716553288,0.3931216931216931,0.2241874527588813
settings_two,synthetic_batch_43.out,HBOS,0.5376267748478702,COPOD,0.3923597025016903,HBOS,0.5567275185936444,PCC,0.3923597025016903,HBOS,0.5567275185936444,0.0974976392823418,0.3077417173766058,0.252129817444219,0.5376267748478702,0.3923597025016903,0.388471940500338,0.5567275185936444
settings_two,synthetic_batch_47.out,HBOS,0.3913709116214335,PCC,0.4938761308281141,HBOS,0.3913709116214335,PCC,0.4938761308281141,HBOS,0.4938761308281141,0.3144092219020172,0.3768267223382046,0.3580375782881002,0.4303409881697981,0.4938761308281141,0.3575852470424496,0.3913709116214335
settings_two,synthetic_batch_48.out,HBOS,0.3738738738738738,HBOS,0.3738738738738738,HBOS,0.3206388206388206,PCC,0.3738738738738738,HBOS,0.4715397215397215,0.502037845705968,0.158067158067158,0.2227682227682227,0.4715397215397215,0.3738738738738738,0.3636363636363636,0.3206388206388206
settings_two,synthetic_batch_5.out,HBOS,0.3306781045751634,LOF,0.2699346405228758,HBOS,0.3477124183006535,PCC,0.2699346405228758,HBOS,0.358047385620915,0.2177503736920777,0.172140522875817,0.1655228758169934,0.358047385620915,0.2699346405228758,0.3306781045751634,0.3477124183006535
