dataset,filename,label,ada_boost_32,ada_boost_32_class,bayes_32,bayes_32_class,convnet_32,convnet_32_class,decision_tree_32,decision_tree_32_class,knn_32,knn_32_class,mlp_32,mlp_32_class,qda_32,qda_32_class,random_forest_32,random_forest_32_class,resnet_32,resnet_32_class,rocket_32,rocket_32_class,svc_linear_32,svc_linear_32_class,Oracle,Avg Ens,CBLOF,COF,COPOD,HBOS,LOF,PCC,AutoEncoder (AE),DenoisingAutoEncoder (DAE)
settings_one,synthetic_batch_0.out,AutoEncoder (AE),0.5420561229486244,PCC,0.605463399045352,DenoisingAutoEncoder (DAE),0.605463399045352,DenoisingAutoEncoder (DAE),0.5420561229486244,PCC,0.5420561229486244,PCC,0.605463399045352,DenoisingAutoEncoder (DAE),0.605463399045352,DenoisingAutoEncoder (DAE),0.5420561229486244,PCC,1.1731590821503235,HBOS,0.605463399045352,DenoisingAutoEncoder (DAE),0.5420561229486244,PCC,0.4798645698655761,0.5401198118147036,0.8802647716093996,2.1428074291608583,0.4798645698655761,1.1731590821503235,0.5498782242459328,0.5420561229486244,0.7582161343499983,0.605463399045352
settings_one,synthetic_batch_103.out,PCC,0.5971500624174357,PCC,0.5971500624174357,PCC,0.6901885228407098,DenoisingAutoEncoder (DAE),0.5971500624174357,PCC,0.5971500624174357,PCC,0.6901885228407098,DenoisingAutoEncoder (DAE),0.6901885228407098,DenoisingAutoEncoder (DAE),0.5971500624174357,PCC,0.9744794872779894,HBOS,0.6901885228407098,DenoisingAutoEncoder (DAE),0.5971500624174357,PCC,0.4565150719128172,0.5698396664640301,1.028410588377564,1.8071492116658645,0.4565150719128172,0.9744794872779894,0.5079338477891703,0.5971500624174357,0.983345203261049,0.6901885228407098
settings_one,synthetic_batch_104.out,PCC,0.5836202939365273,PCC,0.5836202939365273,PCC,0.7630102251901392,DenoisingAutoEncoder (DAE),0.5836202939365273,PCC,0.5836202939365273,PCC,0.7630102251901392,DenoisingAutoEncoder (DAE),0.8116183108073349,HBOS,0.5836202939365273,PCC,0.8116183108073349,HBOS,0.7630102251901392,DenoisingAutoEncoder (DAE),0.5836202939365273,PCC,0.4906462029363514,0.6660215670947863,1.5131324921144218,1.52088786938936,0.4919118984286236,0.8116183108073349,0.4906462029363514,0.5836202939365273,1.058135556736595,0.7630102251901392
settings_one,synthetic_batch_105.out,DenoisingAutoEncoder (DAE),0.733030980119762,PCC,0.8758755048529844,DenoisingAutoEncoder (DAE),0.8758755048529844,DenoisingAutoEncoder (DAE),0.733030980119762,PCC,1.0341354699037724,HBOS,0.8758755048529844,DenoisingAutoEncoder (DAE),0.8758755048529844,DenoisingAutoEncoder (DAE),0.733030980119762,PCC,1.0341354699037724,HBOS,0.8758755048529844,DenoisingAutoEncoder (DAE),0.733030980119762,PCC,0.5013280176793268,0.6760298197918049,1.2356688375218312,2.1198830704081573,0.5013280176793268,1.0341354699037724,0.5526048245834079,0.733030980119762,1.0954672086482984,0.8758755048529844
settings_one,synthetic_batch_108.out,COPOD,0.6783157535298373,PCC,0.6783157535298373,PCC,0.7701169655112777,DenoisingAutoEncoder (DAE),0.6783157535298373,PCC,0.6921869979819084,HBOS,0.7701169655112777,DenoisingAutoEncoder (DAE),0.7701169655112777,DenoisingAutoEncoder (DAE),0.6783157535298373,PCC,0.6921869979819084,HBOS,0.7701169655112777,DenoisingAutoEncoder (DAE),0.6783157535298373,PCC,0.468999390660254,0.6401109759468298,1.031243036061212,0.917914051694067,0.468999390660254,0.6921869979819084,0.5238355120718743,0.6783157535298373,1.174942636588412,0.7701169655112777
settings_one,synthetic_batch_110.out,PCC,0.6511786354874273,PCC,0.6511786354874273,PCC,0.8243507612603971,DenoisingAutoEncoder (DAE),0.6511786354874273,PCC,0.6511786354874273,PCC,0.8243507612603971,DenoisingAutoEncoder (DAE),0.8243507612603971,DenoisingAutoEncoder (DAE),0.6511786354874273,PCC,0.7681496678025437,HBOS,0.8243507612603971,DenoisingAutoEncoder (DAE),0.6511786354874273,PCC,0.4629848249714525,0.5383509597344892,1.2871790000518768,2.308980364041424,0.4629848249714525,0.7681496678025437,0.5037092874008392,0.6511786354874273,1.0203337744513183,0.8243507612603971
settings_one,synthetic_batch_112.out,DenoisingAutoEncoder (DAE),0.5516418526592439,PCC,0.5391794304634824,DenoisingAutoEncoder (DAE),0.5391794304634824,DenoisingAutoEncoder (DAE),0.5516418526592439,PCC,0.5516418526592439,PCC,0.5391794304634824,DenoisingAutoEncoder (DAE),0.5391794304634824,DenoisingAutoEncoder (DAE),0.5516418526592439,PCC,1.204564396554474,HBOS,0.5391794304634824,DenoisingAutoEncoder (DAE),0.5516418526592439,PCC,0.4082277988871544,0.5447999632531827,0.998913203998696,2.0777228479747376,0.4082277988871544,1.204564396554474,0.5120031645039493,0.5516418526592439,1.1274558795446936,0.5391794304634824
settings_one,synthetic_batch_113.out,HBOS,0.7486660598238787,PCC,0.7486660598238787,PCC,0.780955289372242,DenoisingAutoEncoder (DAE),0.7486660598238787,PCC,0.7486660598238787,PCC,0.7486660598238787,PCC,0.780955289372242,DenoisingAutoEncoder (DAE),0.7486660598238787,PCC,0.9440418099436676,HBOS,0.780955289372242,DenoisingAutoEncoder (DAE),0.7486660598238787,PCC,0.4596151566526544,0.6554219610258005,1.3695717552818116,1.2911621615032896,0.4596151566526544,0.9440418099436676,0.6450749117837542,0.7486660598238787,0.9028305501941608,0.780955289372242
settings_one,synthetic_batch_114.out,PCC,0.6159829160822897,PCC,0.7695743641418471,DenoisingAutoEncoder (DAE),0.7695743641418471,DenoisingAutoEncoder (DAE),0.6159829160822897,PCC,0.6159829160822897,PCC,0.6159829160822897,PCC,0.7695743641418471,DenoisingAutoEncoder (DAE),0.6159829160822897,PCC,0.5891251589943048,HBOS,0.7695743641418471,DenoisingAutoEncoder (DAE),0.6159829160822897,PCC,0.5127151947818518,0.7197316754528525,1.6640466044800724,1.3664167325068728,0.5127151947818518,0.5891251589943048,0.5511327678687793,0.6159829160822897,0.8325635137193178,0.7695743641418471
settings_one,synthetic_batch_117.out,HBOS,0.5768895668981087,PCC,0.5251395509266945,DenoisingAutoEncoder (DAE),0.5251395509266945,DenoisingAutoEncoder (DAE),0.5768895668981087,PCC,0.5768895668981087,PCC,0.5251395509266945,DenoisingAutoEncoder (DAE),0.5251395509266945,DenoisingAutoEncoder (DAE),0.5768895668981087,PCC,0.6712695371023617,HBOS,0.5251395509266945,DenoisingAutoEncoder (DAE),0.5768895668981087,PCC,0.4630645278968333,0.6351733359057516,0.744619182377046,1.6406908912326097,0.4630645278968333,0.6712695371023617,0.5269751094140567,0.5768895668981087,1.0690220890842064,0.5251395509266945
